label,pred_label,origin,transfer
0,1,fixed,sleeping 
0,0,happy,happy 
0,0,happy fathers day,happy th day 
0,0,we made history,we made history 
0,1,vote your conscience,vote your polling 
0,1,y solo es mircoles,houston tx <unk> <unk> 
0,1,todays theme law and order,todays law and law are 
0,1,this ones for you hill,this time for you iowa 
0,1,thank you virginia and senator,thank you eric and mike 
0,0,we are better than this,we are better than this 
0,0,our kids are watching donald,our kids are scared under 
0,0,we recommend for us president,we need for us president 
0,1,made a new friend in ohio,made a new poll in ohio 
0,1,victory never tasted so good thanks,exclusive trump <unk> so good thanks 
0,1,watch this before you watch tonights debate,watch this debate you watch tonights debate 
0,1,i love you new york go vote,i love you new york go back 
0,1,hillary clinton talks female equality in appearance,hillary clinton clinton foreign leadership in pennsylvania 
0,1,endorsing hillary on  she is a fighter,crooked hillary on she is a liar 
0,1,follow along to see our state snapchat takeover,watch out to see our state kentucky video 
0,1,hillarys statement on the shooting in baton rouge,hillarys statement on the stakes in syracuse ny 
0,0,hillarys live on s facebook page watch now,hillarys live on s speech event now now 
0,0,tune in to watch hillary speak live at,tune in to watch hillary speak live at 
0,0,introducing  discover what thinks about people like you,stop fox what looks about people like you 
0,0,neverbeforeseen photos of hillary from the trail in,<unk> support of hillary from the stage in 
0,1,breaking former bernie sanders supporter braddock mayor endorses,breaking general gop poll <unk> vs hillary clinton 
0,0,love this ellen where can i get one h,love this vp if you can be one 
0,1,senator is a gunsense champion of the first order,ohio is a <unk> champion of the american character 
0,1,when makes you mad chip in to make himsad,when you make me supporters in to make <unk> 
0,0,chip in now if you agree with hillary and,tune in now if you hear with hillary and 
0,1,i never said that donald trump who said that,i never said that donald trump who said cruz 
0,1,declaraciones de hillary clinton sobre el ataque en orlando,<unk> poll hillary clinton praised christie christie c 
0,0,let us build a future where love trumps hate,let us build a future where donald trumps guy 
0,1,one year later still one of our favorite maps,one year ago that took some of our inner 
0,1,hillary clinton wants to forgive student debt for entrepreneurs,hillary clinton wants to <unk> strong support for isis 
0,1,it is a correct tweet donald trump just now,it is a reagan commentary donald trump i voted 
0,0,this is literally donald trumps plan to fight isis,this is why donald trumps plan to fight isis 
0,1,as your president i will always have your back hillary,as a president i will have great very amp 
0,1,this man is totally thoroughly unqualified to be president on,this man is really totally unfit to be president on 
0,1,the nyt editorial board endorses hillary clinton for president via,the nyt editorial board clinton clinton clinton for president via 
0,0,hillary clinton is the better candidate to take on trump,hillary clinton is the better candidate to take on trump 
0,1,tonight we heard from two candidates  but only one president,tonight we believe from two supporters that a presidential candidate 
0,1,bad for the economy women immigrants and literally the planet,pathetic for the people americans and immigrants the mias 
0,0,helping small businesses succeed is about more than policyits personal,amp small businesses are make more than more <unk> zero 
0,0,and agree trump would put us into a deep recession,and donald trump should save up to a commanderinchief weak 
0,1,so yeah its been quite a week for donald trump,so much has been very exciting as for president trump 
0,1,when it comes to love and kindness puts it best,when it comes to love and rush god really a 
0,0,watch live hillary speaks on tonights primary results in philadelphia,watch live hillary speaks on nbc big news in wisconsin 
0,1,i will bring people together  we do not think so,i will bring people together we do not think so 
0,1,how many trump products were made overseas heres the complete list,how many marco rubio were live but the take the wrong 
0,1,happy mothers day to charlottes mom and my wonderful daughter  h,happy day day to <unk> iowa and my very nice h 
0,1,you heard  heres how you can get involved in this campaign,you know watching how you can get involved in this campaign 
0,0,preguntamos a varios neoyorquinos sobre donald trumpy estas fueron sus reacciones,<unk> a <unk> <unk> la <unk> y el pas <unk> 
0,0,we are building a wall hes a mexican donald trump june,we are doing a wall has a true donald trump 
0,0,adems de defender a dapa y daca debemos hacer mucho mshillary,<unk> de personas a <unk> nuestra politician cruz <unk> <unk> <unk> 
0,1,watch new york state senator twirls during washington heights block party,watch new york state senator <unk> during 35 news ny cruz 
0,0,this is just common sense its time for congress to act,this is just common sense its time for congress to act 
0,0,watch live as joins hillary on the trail in new hampshire,watch live as hillary on hillary discuss the in new hampshire 
0,1,why do trumps foreign policy ideas read like a putin wish list,why did his foreign policy return like a liar like how guy 
0,0,despite what donald trump may say immigrants are not rapists and criminals,like what donald trump did they are actually not save and crazy 
0,1,trump says global warming is a hoaxi say trump is a fraud,trump says trumps lies is a <unk> trump he is a liar 
0,1,good news our businesses have added million jobs over the past months,good news our people has helped their jobs over the past candidate 
0,0,things donald trump has said and done that should disqualify his candidacy,remember donald trump has said and said we would save his campaign 
0,1,then she went down to south texasand registered mexicanamerican voters on hillary,everybody just endorsed away to big <unk> guilty accounts video on hillary 
0,0,heres why donald trump might be refusing to release his tax returns,heres why donald trump has not used to his tax returns yet 
1,0,,
1,0,,
1,0,,
1,0,,
1,0,,
1,0,,
1,0,finder,history 
1,1,hawaii,sleeping 
1,1,thank you,thank you 
1,1,thank you,thank you 
1,1,thank you,thank you 
1,1,this morning,this morning 
1,1,thank you,thank you 
1,0,thank you hawaii,thank you connecticut 
1,1,thank you iowa,thank you delaware 
1,1,watch on now,watch on now 
1,1,thank you america,thank you america 
1,1,thank you rep,thank you rep 
1,1,thank you facebook,thank you delaware 
1,1,thank you pennsylvania,thank you delaware 
1,0,is not qualified,is not qualified 
1,0,anything is better than,anything is better than 
1,1,thank you jacksonville florida,thank you connecticut virginia 
1,0,thank you wilkesbarre pennsylvania,thank you connecticut delaware 
1,1,thank you new hampshire,thank you new york 
1,1,make america great again,make america great again 
1,0,a message from  video,a message from hillary 
1,1,thank you anaheim california,thank you redding california 
1,1,one year from today,one year in today 
1,1,let us go pennsylvania,let us go go 
1,1,thank you north carolina,thank you north carolina 
1,0,hillary and her friends,hillary and her family 
1,1,thank you albany new york,thank you northern new york 
1,1,thank you together we will,thank you we will not 
1,1,great new poll thank you,great new poll thank you 
1,0,congratulations to the champions pittsburgh,congratulations to the connecticut city 
1,1,thank you plymouth new hampshire,thank you <unk> new york 
1,1,thank you warwick rhode island,thank you newt rhode island 
1,1,thank you windham new hampshire,thank you <unk> new york 
1,1,thank you  farmington new hampshire,thank you support new york 
1,0,obamas deal vs trumps deals,no campaign yet trumps hate 
1,1,thank you albany new york,thank you northern new york 
1,1,to find your voting location visit,to find your polling vote back 
1,1,wow reviews are in  thank you,wow numbers are in you you 
1,1,join me in columbus ohio tomorrow,join me in columbus ohio tomorrow 
1,1,the trump doctrine peace through strength,the trump praise hotel breaking w 
1,1,join me in oklahoma tomorrow night,join me in clive tomorrow tomorrow 
1,1,leaving superior wisconsin now thank you,live vs go now thank you 
1,1,thank you ohio  see you tonight,thank you ohio see you soon 
1,1,join me in charleston wv  tomorrow,join me in connecticut tomorrow tomorrow 
1,0,you have until pm to  delaware,you have said hillary to go 
1,0,never let them see you sweat,once you let you see you 
1,1,great job make america great again,great job make america great again 
1,1,nobody beats me on national security,really wins at on national security 
1,1,statement regarding british referendum on eu membership,statement on immigration <unk> on tackling content 
1,1,thank you brian france bill elliott   amp,thank you senator trump campaign amp 
1,1,leader no regard for black race via,anybody no words for years equality via 
1,1,join me tomorrow in plymouth new hampshire,join me tomorrow in <unk> new york 
1,1,i am on at 00 am enjoy,i am on at 00 am enjoy 
1,0,happy easter to all have a great day,happy birthday to everyone we a great day 
1,1,will be interviewed on on at 15 am,will be interviewed on on at 15 am 
1,1,i will defeat crooked hillary clinton on 82016,i will tell crooked hillary clinton on <unk> 
1,0,do not let hillary clinton do it again,do not let hillary clinton do it do 
1,0,up to million followers can not stop the,fighting to lgbt families not not win the 
0,0,hillary accepted the democratic nomination for president on thursday there were balloons,hillary clintons the democratic nomination for president on rnc we was <unk> 
0,0,donald trump is not someone who should ever have the nuclear codes,donald trump is not who who should have the the racist liar 
0,1,look at the policies trump has proposedthey would put prejudice into practice,look at the trump administration has <unk> to put himself over disclosure 
0,1,no donald esto no es un conflicto de intersel problema eres t,no marco rubio no <unk> un rubio <unk> <unk> <unk> samp <unk> 
0,1,trump can not win tonights debate by lying to the american people,trump can not win his supporters on corruption to the american people 
0,0,has won the democratic nominating process and i congratulate her for that,has won the democratic convention champion and i congratulate for this guy 
