label,pred_label,origin,transfer
0,1,fixed,sleeping 
0,0,happy,happy 
0,1,happy fathers day,happy georgia day 
0,0,we made history,we love history 
0,1,vote your conscience,vote your virginia 
0,1,y solo es mircoles,endorsements amp marco <unk> 
0,1,todays theme law and order,clintons immigration and law enforcement 
0,1,this ones for you hill,this weekend for you arizona 
0,1,thank you virginia and senator,thank you daytona and eric 
0,0,we are better than this,we are better than this 
0,0,our kids are watching donald,our polls are watching donald 
0,0,we recommend for us president,we support for us president 
0,1,made a new friend in ohio,made a new night in ohio 
0,1,victory never tasted so good thanks,nevada ryan <unk> so great thank 
0,1,watch this before you watch tonights debate,watch this morning here see tonights debate 
0,1,i love you new york go vote,i love you new york go vote 
0,1,hillary clinton talks female equality in appearance,hillary clinton spent horrible votes in votes 
0,0,endorsing hillary on  she is a fighter,hillary on hillary was a really secret 
0,1,follow along to see our state snapchat takeover,exclusive interview to see our police kentucky poll 
0,1,hillarys statement on the shooting in baton rouge,hillarys statement on the speech in claremont 
0,1,hillarys live on s facebook page watch now,nice statement on s press watch watch now 
0,0,tune in to watch hillary speak live at,tune in to watch hillary speak live at 
0,0,introducing  discover what thinks about people like you,exclusive how what about nothing about you again 
0,1,neverbeforeseen photos of hillary from the trail in,<unk> of ohio of the attack in 
0,1,breaking former bernie sanders supporter braddock mayor endorses,breaking s gop administration <unk> <unk> loss 
0,1,love this ellen where can i get one h,love this candidates said will never forget one time 
0,1,senator is a gunsense champion of the first order,senator is a <unk> of the endorsement of my 
0,0,when makes you mad chip in to make himsad,when you us go down in to make <unk> 
0,0,chip in now if you agree with hillary and,tune in now if you and hear with russia 
0,1,i never said that donald trump who said that,i never said that trump cruz who said that 
0,0,declaraciones de hillary clinton sobre el ataque en orlando,<unk> general clinton clinton de el inmigrantes en nueva 
0,0,let us build a future where love trumps hate,let us build a future when love trumps hate 
0,1,one year later still one of our favorite maps,one year ago is one of our best sad 
0,1,hillary clinton wants to forgive student debt for entrepreneurs,hillary clinton wants to <unk> energy energy for women 
0,0,it is a correct tweet donald trump just now,it is a bimbo like donald trump just now 
0,0,this is literally donald trumps plan to fight isis,this is donald trump no plan to help donors 
0,0,as your president i will always have your back hillary,as a president i will have you your back hillary 
0,1,this man is totally thoroughly unqualified to be president on,this election is totally totally unfit to be president on 
0,1,the nyt editorial board endorses hillary clinton for president via,the gop editorial board clinton clinton voted for president via 
0,0,hillary clinton is the better candidate to take on trump,hillary clinton is the real candidate to take on trump 
0,1,tonight we heard from two candidates  but only one president,tonight we heard from two word what only one bush 
0,0,bad for the economy women immigrants and literally the planet,key for the people donald women and russia the same combined 
0,0,helping small businesses succeed is about more than policyits personal,make small businesses supporters is about more <unk> than <unk> 
0,0,and agree trump would put us into a deep recession,and donald trump would put us from a different threat 
0,1,so yeah its been quite a week for donald trump,so much has been a lie for america so trump 
0,1,when it comes to love and kindness puts it best,when it comes to love and mark them this nice 
0,0,watch live hillary speaks on tonights primary results in philadelphia,watch live hillary speaks on her international rally in philadelphia 
0,1,i will bring people together  we do not think so,i will bring people together we do not agree so 
0,1,how many trump products were made overseas heres the complete list,how many trump has rolling back do about the wall street 
0,1,happy mothers day to charlottes mom and my wonderful daughter  h,happy day day to <unk> iowa and my wife daughter h 
0,0,you heard  heres how you can get involved in this campaign,you know about how you can be involved in this campaign 
0,0,preguntamos a varios neoyorquinos sobre donald trumpy estas fueron sus reacciones,<unk> a <unk> <unk> <unk> de <unk> esta esta cruz 
0,1,we are building a wall hes a mexican donald trump june,we are becoming a <unk> not a liar rubio like trump 
0,1,adems de defender a dapa y daca debemos hacer mucho mshillary,<unk> <unk> la a <unk> <unk> que rubio rubio <unk> <unk> 
0,1,watch new york state senator twirls during washington heights block party,watch new york poll governor <unk> town hall join mexico frontrunner 
0,0,this is just common sense its time for congress to act,this is just another best more time to endorse to russia 
0,0,watch live as joins hillary on the trail in new hampshire,watch live as live on hillary on the tune in new 
0,1,why do trumps foreign policy ideas read like a putin wish list,why did trumps major policy behavior like it a game secret politician 
0,1,despite what donald trump may say immigrants are not rapists and criminals,about what donald trump did nothing they are correct amp believe 
0,1,trump says global warming is a hoaxi say trump is a fraud,trump says common core is a <unk> guy trump is a liar 
0,1,good news our businesses have added million jobs over the past months,good news american jobs have million jobs from the world since years 
0,1,things donald trump has said and done that should disqualify his candidacy,lyin donald trump has said and so why would destroy his donors 
0,1,then she went down to south texasand registered mexicanamerican voters on hillary,yesterday i said live to north carolina <unk> crowd crooked on hillary 
0,0,heres why donald trump might be refusing to release his tax returns,heres how donald trump has not used to nuclear tax tax rate 
1,0,,
1,0,,
1,0,,
1,0,,
1,0,,
1,0,,
1,0,finder,priorities 
1,0,hawaii,literally 
1,1,thank you,thank you 
1,1,thank you,thank you 
1,1,thank you,thank you 
1,1,this morning,this morning 
1,1,thank you,thank you 
1,1,thank you hawaii,thank you massachusetts 
1,1,thank you iowa,thank you iowa 
1,1,watch on now,watch on now 
1,1,thank you america,thank you america 
1,1,thank you rep,thank you rep 
1,1,thank you facebook,thank you pennsylvania 
1,1,thank you pennsylvania,thank you pennsylvania 
1,1,is not qualified,is not true 
1,0,anything is better than,fact is better than 
1,1,thank you jacksonville florida,thank you florida collins 
1,1,thank you wilkesbarre pennsylvania,thank you pennsylvania pennsylvania 
1,1,thank you new hampshire,thank you new hampshire 
1,1,make america great again,make america great again 
1,0,a message from  video,a message from november 
1,1,thank you anaheim california,thank you california california 
1,1,one year from today,one year from today 
1,1,let us go pennsylvania,let us go vote 
1,1,thank you north carolina,thank you north carolina 
1,0,hillary and her friends,hillary and her friends 
1,1,thank you albany new york,thank you new york new 
1,1,thank you together we will,thank you together we will 
1,1,great new poll thank you,great new poll thank you 
1,0,congratulations to the champions pittsburgh,congratulations to the books books 
1,1,thank you plymouth new hampshire,thank you <unk> new york 
1,1,thank you warwick rhode island,thank you fort lauderdale delaware 
1,1,thank you windham new hampshire,thank you <unk> new york 
1,1,thank you  farmington new hampshire,thank you fort new york 
1,0,obamas deal vs trumps deals,s deal show trumps policy 
1,1,thank you albany new york,thank you new york new 
1,1,to find your voting location visit,to find your polling vote tickets 
1,0,wow reviews are in  thank you,wow pride are in you you 
1,1,join me in columbus ohio tomorrow,join me in columbus ohio tomorrow 
1,0,the trump doctrine peace through strength,the trump university hotel casino history 
1,1,join me in oklahoma tomorrow night,join me in charlotte tomorrow night 
1,1,leaving superior wisconsin now thank you,register in iowa now thank you 
1,1,thank you ohio  see you tonight,thank you arizona see you tonight 
1,1,join me in charleston wv  tomorrow,join me in columbus beach tomorrow 
1,0,you have until pm to  delaware,you have left tonight to connecticut 
1,0,never let them see you sweat,you want let you see you 
1,1,great job make america great again,great job make america great again 
1,0,nobody beats me on national security,he knows tonight on trumps security 
1,0,statement regarding british referendum on eu membership,statement from hq <unk> on nuclear et1035 
1,1,thank you brian france bill elliott   amp,thank you rep hillary clinton plans amp 
1,0,leader no regard for black race via,donald trumps praise for womens rights via 
1,1,join me tomorrow in plymouth new hampshire,join me tomorrow in <unk> new york 
1,1,i am on at 00 am enjoy,i am on at 00 am enjoy 
1,1,happy easter to all have a great day,happy birthday we will have a great day 
1,1,will be interviewed on on at 15 am,will be interviewed on on at 30 am 
1,0,i will defeat crooked hillary clinton on 82016,i will defeat hillary hillary clinton on <unk> 
1,0,do not let hillary clinton do it again,do not let hillary clinton do it again 
1,0,up to million followers can not stop the,going to million women can not stop the 
0,1,hillary accepted the democratic nomination for president on thursday there were balloons,hillary clinton the full nomination for president on tuesday <unk> are <unk> 
0,0,donald trump is not someone who should ever have the nuclear codes,donald trump is not voters who should not have the nuclear button 
0,1,look at the policies trump has proposedthey would put prejudice into practice,look at the media trump has has been taken up million ad 
0,0,no donald esto no es un conflicto de intersel problema eres t,no donald de la rubio <unk> un <unk> rubio <unk> <unk> 
0,0,trump can not win tonights debate by lying to the american people,trump can not win her nomination on russia of the us economy 
0,0,has won the democratic nominating process and i congratulate her for that,has won the democratic dem and i am grateful for this h 
