,original,recon,transfer
1,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she sang her mind this is the world i do ya go\n', 'i never thought that you would be the only to be on them\n', 'oh her eyes my eyes make the door or not are not like it\n', 'and I am a man of tryin but i would live in my eyes\n', 'and I am a man of tryin but i would live in my eyes\n', 'every heart of your soul is a gold sumthin going going to be around\n', 'then I am willing to wait for it for place for it for it\n', 'baby I am baby I am tired but i do not want to go\n', 'and i swear by the moon and the unk in the mirror not be seen\n', 'and I am a man of tryin but i would live in my eyes\n', 'but i can not help it that i can not take my eyes of your eyes\n']","['if she sang her mind this is the world i do ya go\n', 'i never thought that you would be the only to get my names\n', 'oh her eyes your eyes but the love or not are not <unk>\n', 'and I am a man of woman and i would know my hand in you\n', 'and I am a man of woman and i would know my hand in you\n', 'every piece of your soul is a brother who have going to be around\n', 'then I am willing to wait for it for em like it for it\n', 'baby I am baby I am creepin but i do not want to boast\n', 'and i swear by the steel and the name in the closet not be seen\n', 'and I am a man of woman and i would know my hand in you\n', 'but i can not stop it that i can not get my love of your eyes\n']"
2,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she falls her mind this is the first place she can go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the bed as me not are i feel\n', 'and I am a man of jj so i did not stay in your way\n', 'and I am a man of jj so i did not stay in your way\n', 'every heart of your skin is a brother I am going to be along\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am ready but i do not want to stay ooh\n', 'and i swear by the moon and the stars in the mirror not i find\n', 'and I am a man of jj so i did not stay in your way\n', 'but i can not help it that i can not get the right of all you\n']","['if she thinks her mind this is the first man we tried go\n', 'i never thought that you would be the mic to the next\n', 'oh her eyes her boy make my sleep because not are not <unk> it\n', 'and I am a man of young but she would not stay in my way\n', 'and I am a man of young but she would not stay in my way\n', 'every dude of your girlfriend is a brother digger we have got to blow\n', 'then I am willing to wait for it like once it for it\n', 'baby I am baby I am ready but i do not want to boast um\n', 'and i danced by the moon and the unk on the brothers not i find\n', 'and I am a man of young but she would not stay in my way\n', 'but i can not help it that i can not get bang rhymes on you mic\n']"
3,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the best to hold my heart\n', 'oh her eyes her eyes make the stars or not did we are it\n', 'and I am a man of dogg and everybody i did her up in rhyme\n', 'and I am a man of dogg and everybody i did her up in rhyme\n', 'every heart of your skin is a gold digger I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am sorry and i do not want to hide ooh\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of dogg and everybody i did her up in rhyme\n', 'but i can not help it that i can not take the next on of you\n']","['if she changes her mind this is the teen what she will go\n', 'i never thought that you would be the best to get my joint\n', 'oh her eyes her eyes make the ladies or did not they is <unk>\n', 'and I am a man of heartache so why i should stand in my way\n', 'and I am a man of heartache so why i should stand in my way\n', 'every representation of your neighbor is a gold digger have have going to blow\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am leavin and i do not want to um um\n', 'and i swear by the moon and the city in the mornin have rhyme made\n', 'and I am a man of heartache so why i should stand in my way\n', 'but i can not help it that i can not hit the crush on delight rhyme\n']"
4,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the whole ending she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of dogg so why i should stand in her way\n', 'and I am a man of dogg so why i should stand in her way\n', 'every inch of your skin is a wide clearer I have going to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am tryna and i do not want to stand ooh\n', 'and i swear by the moon and the stars in the mirror has you making\n', 'and I am a man of dogg so why i should stand in her way\n', 'but i can not help it that i can not take my eyes on another time\n']","['if she changes her mind this is the whole man we tried go\n', 'i never thought that you would be the one to get my lottie\n', 'oh her eyes her eyes make the name look but we are not <unk>\n', 'and I am a man of nah so why i should stand in your way\n', 'and I am a man of nah so why i should stand in your way\n', 'every boo of your skull is a tree cos have have got to choke\n', 'then I am willing to wait for it wait for it like watching it\n', 'baby I am baby I am def and i do not want to choke d\n', 'and i swear by the dance and the underground in the mirror not rhyme made\n', 'and I am a man of nah so why i should stand in your way\n', 'but i can not help it that i can not get a muthafuckin off of compton\n']"
5,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of dogg so why i was shot in her way\n', 'and I am a man of dogg so why i was shot in her way\n', 'every inch of your skin is a tree wine I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am sorry and i do not want to play anymore\n', 'and i swear by the moon and the stars in the hands ill be there\n', 'and I am a man of dogg so why i was shot in her way\n', 'but i can not help it that i can not take my eyes on one chance\n']","['if she changes her mind this is the mic what he tried go\n', 'i never thought that you would be the one to my my knowledge\n', 'oh her eyes her eyes make the ladies look because i are not <unk>\n', 'and I am a man of nah so why i should stand in my arms\n', 'and I am a man of nah so why i should stand in my arms\n', 'every boo of your skull is a tree uncle I have got to choke\n', 'then I am willing to wait for it wait for it for rhyme\n', 'baby I am baby I am def and i do not want to choke prenup\n', 'and i swear by the dance and the stars in the mornin could be show\n', 'and I am a man of nah so why i should stand in my arms\n', 'but i can not help it that i can not get my muthafuckin on mic tip\n']"
6,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of dogg so why i should stand in no money\n', 'and I am a man of dogg so why i should stand in no money\n', 'every inch of your skin is a holy beaches I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am sorry and i do not want to stay anymore\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of dogg so why i should stand in no money\n', 'but i can not help it that i can not make my ticket on you day\n']","['if she changes her mind this is the mic it she will go\n', 'i never thought that you would be the one to call my mic\n', 'oh her eyes her eyes make the ladies look until are are not <unk>\n', 'and I am a man of shoulder so why i should stand in my arms\n', 'and I am a man of shoulder so why i should stand in my arms\n', 'every boo of your smokin is a tree digger I am going to find presidents\n', 'then I am willing to wait for it wait for it house for it\n', 'baby I am baby I am def and i do not want to smokin prenup\n', 'and i swear by the shape and the stars in the mornin ill be there\n', 'and I am a man of shoulder so why i should stand in my arms\n', 'but i can not help it that i can not let my muthafuckin on all mic\n']"
7,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of dogg so why i should stand in her way\n', 'and I am a man of dogg so why i should stand in her way\n', 'every inch of your skin is a holy heart I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play anymore\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of dogg so why i should stand in her way\n', 'but i can not help it that i can not take my eyes off of you\n']","['if she changes her mind this is the mic word she will go\n', 'i never thought that you would be the one to hold my knowledge\n', 'oh her eyes her eyes make the ladies look but they are not <unk>\n', 'and I am a man of chiraq so why i should stand in her arms\n', 'and I am a man of chiraq so why i should stand in her arms\n', 'every inch of your skin is a tree digger I have got to find\n', 'then I am tryin to wait for it wait for it house for rhyme\n', 'baby I am baby I am def and i do not want to crush prenup\n', 'and i swear by the moon and the stars in the mornin could a show\n', 'and I am a man of chiraq so why i should stand in her arms\n', 'but i can not help it that i can not get my muthafuckin off of bub\n']"
8,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of dogg so why i should stand in my way\n', 'and I am a man of dogg so why i should stand in my way\n', 'every inch of your skin is a holy weight I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am sorry and i do not want to play anymore\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of dogg so why i should stand in my way\n', 'but i can not help it that i can not take my eyes off of you\n']","['if she changes her mind this is the mic <unk> she will go\n', 'i never thought that you would be the mic to drive my joint\n', 'oh her eyes her weasel make the hood look but i are not <unk>\n', 'and I am a man of mi so why i should stand in my way\n', 'and I am a man of mi so why i should stand in my way\n', 'every boo of your skin is a little digger I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am niggaz and i do not want to boo prenup\n', 'and i swear by the moon and the stars in the mornin will be there\n', 'and I am a man of mi so why i should stand in my way\n', 'but i can not help it that i can not get the funky on mic mic\n']"
9,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of dogg so why i should stand in her way\n', 'and I am a man of dogg so why i should stand in her way\n', 'every inch of your skin is a holy beaches I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play anymore\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of dogg so why i should stand in her way\n', 'but i can not help it that i can not take my eyes off of you\n']","['if she changes her mind this is the mic what she will smokin\n', 'i never thought that you would be the one to rhyme my joint\n', 'oh her eyes her eyes make the ladies look like they are not <unk>\n', 'and I am a man of grandpa so why i should stand in no way\n', 'and I am a man of grandpa so why i should stand in no way\n', 'every inch of your skin is a motor cell I have got to find\n', 'then I am tryin to wait for it wait for it house for rhyme\n', 'baby I am baby I am def and i do not want to smokin word\n', 'and i swear by the course and the stars in the mornin ill be there\n', 'and I am a man of grandpa so why i should stand in no way\n', 'but i can not help it that i can not get my thang off of mic\n']"
10,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of pimp so why i should stand in her way\n', 'and I am a man of pimp so why i should stand in her way\n', 'every inch of your skin is a holy holiday I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play anymore\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of pimp so why i should stand in her way\n', 'but i can not help it that i can not take my eyes off of you\n']","['if she changes her mind this is the mic what he bust smokin\n', 'i never thought that you would be the mic to hold my joint\n', 'oh her eyes her eyes make the ladies look mic that are not <unk>\n', 'and I am a man of chiraq so why i should stand in her way\n', 'and I am a man of chiraq so why i should stand in her way\n', 'every inch of your smokin is a motor knowledge I got to paid nuts\n', 'then I am tryin to wait for it wait for it wit for it\n', 'baby I am baby I am wishin and i do not want to smokin house\n', 'and i swear by the moon and the stars in the funk must be jam\n', 'and I am a man of chiraq so why i should stand in her way\n', 'but i can not help it that i can not get my thang off of compton\n']"
