label,pred_label,origin,transfer
0,1,camron,<unk> 
0,0,yo,yo 
0,1,damn,oooh 
0,1,uhhhh,<unk> 
0,1,susususususuper,<unk> 
0,1,goodnight,wastin 
0,1,camron,<unk> 
0,0,yo,yo 
0,1,damn,oooh 
0,1,uhhhh,<unk> 
0,1,susususususuper,<unk> 
0,1,goodnight,wastin 
0,1,camron,<unk> 
0,0,yo,yo 
0,1,damn,oooh 
0,1,uhhhh,<unk> 
0,1,susususususuper,<unk> 
0,1,goodnight,wastin 
0,0,word up,word up 
0,1,phife dawg,ooh 
0,1,fast nigga,oooh yeah 
0,1,puff daddy,whoa 
0,1,sugarhill gang,<unk> memories 
0,1,yo yo,yo eyes 
0,1,something fiend,something heart 
0,1,nineteen ninety,<unk> chains 
0,1,like this,like this 
0,1,in 92,in town 
0,0,word up,word up 
0,1,phife dawg,ooh 
0,1,fast nigga,oooh yeah 
0,1,puff daddy,whoa 
0,1,sugarhill gang,<unk> memories 
0,1,yo yo,yo eyes 
0,1,something fiend,something heart 
0,1,nineteen ninety,<unk> chains 
0,1,like this,like this 
0,1,in 92,in town 
0,0,word up,word up 
0,1,phife dawg,ooh 
0,1,fast nigga,oooh yeah 
0,1,puff daddy,whoa 
0,1,sugarhill gang,<unk> memories 
0,1,yo yo,yo eyes 
0,1,something fiend,something heart 
0,1,nineteen ninety,<unk> chains 
0,1,like this,like this 
0,1,in 92,in town 
0,0,word up,word up 
0,1,phife dawg,ooh 
0,1,baby got back,baby got back 
0,1,mental selfdefensive fitness,ouais <unk> nope 
0,1,break em off,shake em shake 
0,1,and ignore temptation,and warred 
0,1,got to go,got to go 
0,1,stop hammer time,whatever day time 
0,1,rockin your world,underneath your world 
0,1,verse two styles,these two hearts 
0,1,humpin funkin jumpin,<unk> <unk> womb 
0,0,big daddy kane,big everlasting ears 
0,1,she said why,she said baby 
0,1,you better duck,you better <unk> 
0,1,break it down,shake it down 
0,1,and ill be,and ill be 
1,1,lauryn,<unk> 
1,1,1435,<unk> 
1,1,life,ohh 
1,1,lalalala,<unk> 
1,1,fiya,<unk> 
1,1,smokin,wooooo 
1,1,uhhuhuh,<unk> 
1,0,young,fiend 
1,1,eat,wooooo 
1,1,firestones,<unk> 
1,0,no,verse 
1,0,everyday,12 
1,0,please,12 
1,0,around,outta 
1,0,mona,chorus 
1,0,love,12 
1,0,everywhere,uhhuh 
1,1,hitmaka,<unk> 
1,1,because of,because of 
1,0,my song,my rhyme 
1,1,can i,can can 
1,0,space space,intro 
1,0,i keep,i fresh 
1,0,to you,to rhyme 
1,0,and thoughts,and jump 
1,1,are you,are you 
1,0,you free,you walkin 
1,0,sky blue,intro 1 
1,0,i refuse,i rhyme 
1,0,yeah baby,yeah uhhuh 
1,1,i can,i can 
1,0,crying for,chorus for 
1,1,hypnotic robotic,<unk> <unk> 
1,0,i hope,i rhyme 
1,0,real love,real butt 
1,0,our hearts,verse three 
1,0,i found,i rhyme 
1,0,this moment,this rhyme 
1,0,i i,i rhyme 
1,0,fuck it,push it 
1,1,there are,there are 
1,1,when my,when my 
1,1,i do,i do 
1,0,you ready,you bounce 
1,1,i need,i need 
1,1,hold back,come down 
1,0,even if,even walkin 
1,1,oh baby,oh baby 
1,0,woah woah,intro atcha 
1,0,the future,the weasel 
1,0,the moon,the rhymes 
1,1,when you,when you 
1,1,its unnatural,its <unk> 
1,1,ooh ooh,ooh bump 
1,1,our composer,no <unk> 
1,0,calling me,bump me 
1,0,you are,you walkin 
1,1,yeah yeah,yeah yeah 
1,1,he said,he said 
1,1,at the,at the 
1,1,this time,this time 
1,1,girl i,girl i 
1,1,and that,and that 
1,0,i wonder,i reminisce 
0,1,she is jockin,she is <unk> 
0,1,get the money,get the ground 
0,1,uhh uhhuh yeah,hey yeah yeah 
0,1,baby got back,baby got back 
0,1,mental selfdefensive fitness,ouais <unk> nope 
0,1,break em off,shake em shake 
0,1,and ignore temptation,and warred 
0,1,got to go,got to go 
0,1,stop hammer time,whatever day time 
0,1,rockin your world,underneath your world 
0,1,verse two styles,these two hearts 
0,1,humpin funkin jumpin,<unk> <unk> womb 
