,song,lyrics
0,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"1989 the number, another summer"
1,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"Simple an plain, mother fuck him an John Wayne"
2,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',Dont worry be happy was a number one jam
3,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"Matter of fact, its safe to say"
4,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',We gotta pump the stuff to make us tough
5,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"What we need is awareness, we cant get careless"
6,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"People, people, we are the same"
7,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',Plus Im amped
8,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',We gotta fight the powers that be
9,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',Listen if youre missin yall
10,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"You say, ""What is this?"""
11,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',You see straight up racist that sucker was
12,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',An the rhythm rhyme rollin
13,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',Im ready an hyped
14,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',That they would rather switch than fight
15,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"Get it, lets get this party started right"
16,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"Fight the power, fight the power"
17,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',Sample a look back you look an find
18,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"Swingin while Im singin, givin whatcha gettin"
19,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"No, were not the same cause we dont know the game"
20,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"Right on, cmon, what we gotta say"
21,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"What we gotta say, fight the power, come on"
22,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',Gotta give us what we want
23,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',Music hittin your heart cause I know you got soul
24,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"Elvis was a hero to most, but he never meant shit to me"
25,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',You gotta go for what you know
26,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',To make everybody see
27,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"Damn, if I say it you can slap me right here"
28,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"Give it, give it, give it, give it, give it, come on and get down"
29,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',Our freedom of speech is freedom or death
30,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',What counts is that the rhymes designed to fill your mind
31,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',Cause Im black an Im proud
32,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"My beloved, lets get down to business"
33,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"Knowin what I knowin, while the black bands sweatin"
34,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',In order to fight the powers that be
35,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',Come on and get down
36,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"Nothin but rednecks for 400 years, if you check"
37,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',Most of my heroes dont appear on no stamp
38,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',As the rhythm designed to bounce
39,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"Best equipped, best prepared troops refused to fight"
40,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"Power to the people no delay, make everybody see"
41,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"Fight the power, weve gotta fight the powers that be"
42,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',Now that youve realized the prides arrived
43,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',Gotta give us what we need
44,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"To revolutionize, make a change, nothins strange"
45,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"Yet our best trained, best educated"
46,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"Elvis was a hero to most but he, Elvis was a hero to most"
47,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',Bum rush the show
48,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"From the heart, its a start, a work of art"
49,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',Weve gotta fight the powers that be
50,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"What we gotta say, fight the power"
51,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',Sound of the funky drummer
52,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',"Brothers an sisters, hey"
53,b'PUBLIC ENEMY - FIGHT THE POWER LYRICS',Mental self-defensive fitness
0,b'RUN D.M.C. - WALK THIS WAY LYRICS',Backstroke lover always hidin neath the covers
1,b'RUN D.M.C. - WALK THIS WAY LYRICS',"Then youre sure to be a-changin your ways"""
2,b'RUN D.M.C. - WALK THIS WAY LYRICS',"He said ""you aint seen nothin till youre down on a muffin"
3,b'RUN D.M.C. - WALK THIS WAY LYRICS',With a missy who was ready to play
4,b'RUN D.M.C. - WALK THIS WAY LYRICS',"Walk this way, walk this way"
5,b'RUN D.M.C. - WALK THIS WAY LYRICS',"Singin ""hey diddle diddle"""
6,b'RUN D.M.C. - WALK THIS WAY LYRICS',"When she told me how to walk this way, she told me to"
7,b'RUN D.M.C. - WALK THIS WAY LYRICS',And I knowed love was here to stay
8,b'RUN D.M.C. - WALK THIS WAY LYRICS',Cause the best things of lovin with her sister and her cousin
9,b'RUN D.M.C. - WALK THIS WAY LYRICS',So I gave her just a little kiss
10,b'RUN D.M.C. - WALK THIS WAY LYRICS',And your feet flyin up in the air
11,b'RUN D.M.C. - WALK THIS WAY LYRICS',"Oh, the times I could reminisce"
12,b'RUN D.M.C. - WALK THIS WAY LYRICS',"I was a high school loser, never made it with a lady"
13,b'RUN D.M.C. - WALK THIS WAY LYRICS',Only started with a little kiss
14,b'RUN D.M.C. - WALK THIS WAY LYRICS',So I took a big chance at the high school dance
15,b'RUN D.M.C. - WALK THIS WAY LYRICS',"I met a cheerleader, was a real young bleeder"
16,b'RUN D.M.C. - WALK THIS WAY LYRICS',Till the boys told me somethin I missed
17,b'RUN D.M.C. - WALK THIS WAY LYRICS',Cause she knew what she was doin
18,b'RUN D.M.C. - WALK THIS WAY LYRICS',Just gimme a kiss
19,b'RUN D.M.C. - WALK THIS WAY LYRICS',With your kitty in the middle of the swing
20,b'RUN D.M.C. - WALK THIS WAY LYRICS',Like you didnt care
21,b'RUN D.M.C. - WALK THIS WAY LYRICS',Schoolgirl sweetie with a classy kinda sassy
22,b'RUN D.M.C. - WALK THIS WAY LYRICS',When I noticed they was lookin at me
23,b'RUN D.M.C. - WALK THIS WAY LYRICS',Like this
24,b'RUN D.M.C. - WALK THIS WAY LYRICS',"Till I talked to your daddy, he say"
25,b'RUN D.M.C. - WALK THIS WAY LYRICS',Seesaw swingin with the boys in the school
26,b'RUN D.M.C. - WALK THIS WAY LYRICS',Then my next door neighbor with a daughter had a favor
