,epoch,id,original,reconstruct,transfer
0,1,0,if she changes her mind this is the first place she will go,"if she said her time this is the last she is what they go
","if she said her mind this is the same i said i go
"
1,1,1,i never thought that you would be the one to hold my heart,"i never thought that you would not the <unk> to take your heart be
","i never thought that you would not the <unk> thing at your mind be
"
2,1,2,oh her eyes her eyes make the stars look like they are not shinin,"oh she hope your eyes make the same like is going but not are <unk>
","oh she bless her shit make the same like niggaz are not to be <unk>
"
3,1,3,and I am a man of expanding so why should i stand in her way,"and I am a man with me oh i will not come in this word
","and I am a man with me oh i will not come in this night
"
4,1,4,and I am a man of expanding so why should i stand in her way,"and I am a man with me oh i will not come in this word
","and I am a man with me oh i will not come in this night
"
5,1,5,every inch of your skin is a holy gray I have got to find,"every year of your bed is a big world I have been to leave for
","every year of your brain is a big pound niggaz have to have to kill
"
6,1,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it for it wait for it for it
","then I am tryin to wait for it because make it made for it
"
7,1,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am addicted and i do not want to go through
","baby I am baby I am creepin and i do not want to go down
"
8,1,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the moon in the morning was a really thing
","and i swear by the steel and the land in the mornin knocks the just really
"
9,1,9,and I am a man of expanding so why should i stand in her way,"and I am a man with me oh i will not come in this word
","and I am a man with me oh i will not come in this night
"
10,1,10,but i can not help it that i can not take my eyes off of you,"but i can not find it that i can not have it on my arms to me
","but i can not help it that i can not have it on my back to me
"
0,2,0,if she changes her mind this is the first place she will go,"if she said her mind this is the first place she will go
","if she said her mind this is the first place she will go
"
1,2,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to hold my heart
"
2,2,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes your eyes make the stars like me where they be <unk>
"
3,2,3,and I am a man of expanding so why should i stand in her way,"and I am a man of fly so why I am runnin in her mood
","and I am a man of mama so why I am its up in it
"
4,2,4,and I am a man of expanding so why should i stand in her way,"and I am a man of fly so why I am runnin in her mood
","and I am a man of mama so why I am its up in it
"
5,2,5,every inch of your skin is a holy gray I have got to find,"every portion of your skin is a blue addiction id have to find
","every squad of your pocket is a sweet scar I have been to find
"
6,2,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am willing to wait for it wait for someone take for it
"
